,column,value,Compound,Concentration (M)
208,GC,1.152114,GC,0.0
209,GC,1.368587,GC,0.0
210,GC,0.992465,GC,0.0
211,GC,1.362758,GC,0.0
212,GC,1.554029,GC,0.0
213,GC,1.322425,GC,0.0
214,GC,1.566181,GC,0.0
215,GC,1.349004,GC,0.0
216,GC,1.308676,GC,0.0
217,GC,1.464098,GC,0.0
218,GC,1.511952,GC,0.0
219,GC,1.22403,GC,0.0
220,GC,1.401322,GC,0.0
221,GC,1.448597,GC,0.0
222,GC,1.097652,GC,0.0
223,GC,1.256325,GC,0.0
224,GC,1.373965,GC,0.0
225,GC,1.054057,GC,0.0
226,GC,0.972093,GC,0.0
227,GC,1.510864,GC,0.0
228,GC,1.473791,GC,0.0
229,GC,1.436003,GC,0.0
230,GC,1.223483,GC,0.0
231,GC,1.496338,GC,0.0
232,GC,1.178126,GC,0.0
233,GC,0.894888,GC,0.0
234,GC,0.758766,GC,0.0
235,GC,0.728495,GC,0.0
236,GC,0.766261,GC,0.0
237,GC,0.457765,GC,0.0
238,GC,0.39888,GC,0.0
239,GC,0.407733,GC,0.0
240,GC,0.438225,GC,0.0
241,GC,0.436338,GC,0.0
242,GC,0.974124,GC,0.0
243,GC,0.948332,GC,0.0
244,GC,0.9972,GC,0.0
245,GC,0.898712,GC,0.0
246,GC,0.68408,GC,0.0
247,GC,0.727547,GC,0.0
248,GC,0.679352,GC,0.0
249,GC,0.609896,GC,0.0
250,GC,0.628911,GC,0.0
251,GC,0.687771,GC,0.0
252,GC,0.713408,GC,0.0
253,GC,0.557488,GC,0.0
254,GC,0.534602,GC,0.0
255,GC,0.976954,GC,0.0
256,GC,0.537324,GC,0.0
257,GC,0.5346,GC,0.0
258,GC,0.572576,GC,0.0
259,GC,0.3828,GC,0.0
260,GC,0.379483,GC,0.0
261,GC,0.222376,GC,0.0
262,GC,0.214796,GC,0.0
263,GC,0.333142,GC,0.0
264,GC,0.714543,GC,0.0
265,GC,0.778041,GC,0.0
266,GC,0.837205,GC,0.0
267,GC,0.600126,GC,0.0
268,GC,0.59745,GC,0.0
269,GC,0.733853,GC,0.0
270,GC,1.500716,GC,0.0
271,GC,0.629658,GC,0.0
272,GC,0.597304,GC,0.0
273,GC,0.640711,GC,0.0
274,GC,0.50666,GC,0.0
275,GC,0.615181,GC,0.0
276,GC,0.279844,GC,0.0
277,GC,0.298817,GC,0.0
278,GC,0.271602,GC,0.0
279,GC,0.206749,GC,0.0
280,GC,0.225998,GC,0.0
281,GC,0.202454,GC,0.0
282,GC,1.168682,GC,0.0
283,GC,1.152114,GC,0.0
284,GC,1.368587,GC,0.0
285,GC,0.992465,GC,0.0
286,GC,1.362758,GC,0.0
287,GC,1.554029,GC,0.0
288,GC,1.322425,GC,0.0
289,GC,1.566181,GC,0.0
290,GC,1.349004,GC,0.0
291,GC,1.308676,GC,0.0
292,GC,1.464098,GC,0.0
293,GC,1.511952,GC,0.0
294,GC,1.22403,GC,0.0
295,GC,1.401322,GC,0.0
296,GC,1.448597,GC,0.0
297,GC,1.097652,GC,0.0
298,GC,1.256325,GC,0.0
299,GC,1.373965,GC,0.0
300,GC,1.054057,GC,0.0
301,GC,0.972093,GC,0.0
302,GC,1.510864,GC,0.0
303,GC,1.473791,GC,0.0
304,GC,1.436003,GC,0.0
305,GC,1.223483,GC,0.0
306,GC,1.496338,GC,0.0
307,GC,1.178126,GC,0.0
308,GC,0.894888,GC,0.0
309,GC,0.758766,GC,0.0
310,GC,0.728495,GC,0.0
311,GC,0.766261,GC,0.0
312,GC,0.457765,GC,0.0
313,GC,0.39888,GC,0.0
314,GC,0.407733,GC,0.0
315,GC,0.438225,GC,0.0
316,GC,0.436338,GC,0.0
317,GC,0.974124,GC,0.0
318,GC,0.948332,GC,0.0
319,GC,0.9972,GC,0.0
320,GC,0.898712,GC,0.0
321,GC,0.68408,GC,0.0
322,GC,0.727547,GC,0.0
323,GC,0.679352,GC,0.0
324,GC,0.609896,GC,0.0
325,GC,0.628911,GC,0.0
326,GC,0.687771,GC,0.0
327,GC,0.713408,GC,0.0
328,GC,0.557488,GC,0.0
329,GC,0.534602,GC,0.0
330,GC,0.976954,GC,0.0
331,GC,0.537324,GC,0.0
332,GC,0.5346,GC,0.0
333,GC,0.572576,GC,0.0
334,GC,0.3828,GC,0.0
335,GC,0.379483,GC,0.0
336,GC,0.222376,GC,0.0
337,GC,0.214796,GC,0.0
338,GC,0.333142,GC,0.0
339,GC,0.714543,GC,0.0
340,GC,0.778041,GC,0.0
341,GC,0.837205,GC,0.0
342,GC,0.600126,GC,0.0
343,GC,0.59745,GC,0.0
344,GC,0.733853,GC,0.0
345,GC,1.500716,GC,0.0
346,GC,0.629658,GC,0.0
347,GC,0.597304,GC,0.0
348,GC,0.640711,GC,0.0
349,GC,0.50666,GC,0.0
350,GC,0.615181,GC,0.0
351,GC,0.279844,GC,0.0
352,GC,0.298817,GC,0.0
353,GC,0.271602,GC,0.0
354,GC,0.206749,GC,0.0
355,GC,0.225998,GC,0.0
356,GC,0.202454,GC,0.0
357,GC,1.168682,GC,0.0
358,GC,1.152114,GC,0.0
359,GC,1.368587,GC,0.0
360,GC,0.992465,GC,0.0
361,GC,1.362758,GC,0.0
362,GC,1.554029,GC,0.0
363,GC,1.322425,GC,0.0
364,GC,1.566181,GC,0.0
365,GC,1.349004,GC,0.0
366,GC,1.308676,GC,0.0
367,GC,1.464098,GC,0.0
368,GC,1.511952,GC,0.0
369,GC,1.22403,GC,0.0
370,GC,1.401322,GC,0.0
371,GC,1.448597,GC,0.0
372,GC,1.097652,GC,0.0
373,GC,1.256325,GC,0.0
374,GC,1.373965,GC,0.0
375,GC,1.054057,GC,0.0
376,GC,0.972093,GC,0.0
377,GC,1.510864,GC,0.0
378,GC,1.473791,GC,0.0
379,GC,1.436003,GC,0.0
380,GC,1.223483,GC,0.0
381,GC,1.496338,GC,0.0
382,GC,1.178126,GC,0.0
383,GC,0.894888,GC,0.0
384,GC,0.758766,GC,0.0
385,GC,0.728495,GC,0.0
386,GC,0.766261,GC,0.0
387,GC,0.457765,GC,0.0
388,GC,0.39888,GC,0.0
389,GC,0.407733,GC,0.0
390,GC,0.438225,GC,0.0
391,GC,0.436338,GC,0.0
392,GC,0.974124,GC,0.0
393,GC,0.948332,GC,0.0
394,GC,0.9972,GC,0.0
395,GC,0.898712,GC,0.0
396,GC,0.68408,GC,0.0
397,GC,0.727547,GC,0.0
398,GC,0.679352,GC,0.0
399,GC,0.609896,GC,0.0
400,GC,0.628911,GC,0.0
401,GC,0.687771,GC,0.0
402,GC,0.713408,GC,0.0
403,GC,0.557488,GC,0.0
404,GC,0.534602,GC,0.0
405,GC,0.976954,GC,0.0
406,GC,0.537324,GC,0.0
