,column,value,Compound,Concentration (M)
307,Entinostat_5μM,0.750261,Entinostat,5.00E-06
308,Entinostat_5μM,0.721738,Entinostat,5.00E-06
309,FCCP_0.5μΜ,0.545676,FCCP,5.00E-07
310,FCCP_0.5μΜ,0.574014,FCCP,5.00E-07
311,FCCP_0.5μΜ,0.526661,FCCP,5.00E-07
312,FCCP_0.5μΜ,0.556528,FCCP,5.00E-07
313,FCCP_0.5μΜ,0.808874,FCCP,5.00E-07
314,FCCP_0.5μΜ,0.471041,FCCP,5.00E-07
315,FCCP_0.5μΜ,0.421197,FCCP,5.00E-07
316,FCCP_0.5μΜ,1.084582,FCCP,5.00E-07
317,FCCP_0.5μΜ,0.513745,FCCP,5.00E-07
318,FCCP_0.5μΜ,0.729342,FCCP,5.00E-07
319,FCCP_100nM,0.715106,FCCP,1.00E-07
320,FCCP_100nM,0.835418,FCCP,1.00E-07
321,FCCP_100nM,0.601078,FCCP,1.00E-07
322,FCCP_100nM,1.104873,FCCP,1.00E-07
323,FCCP_10nM,0.822418,FCCP,1.00E-08
324,FCCP_10nM,1.132521,FCCP,1.00E-08
325,FCCP_10nM,0.791445,FCCP,1.00E-08
326,FCCP_10nM,1.28528,FCCP,1.00E-08
327,FCCP_10μM,0.254523,FCCP,1.00E-05
328,FCCP_10μM,0.229026,FCCP,1.00E-05
329,FCCP_10μM,0.177469,FCCP,1.00E-05
330,FCCP_10μM,0.177423,FCCP,1.00E-05
331,FCCP_10μM,0.171111,FCCP,1.00E-05
332,FCCP_10μM,0.281259,FCCP,1.00E-05
333,FCCP_10μM,0.279879,FCCP,1.00E-05
334,FCCP_10μM,0.263476,FCCP,1.00E-05
335,FCCP_10μM,0.301912,FCCP,1.00E-05
336,FCCP_10μM,0.28516,FCCP,1.00E-05
337,FCCP_1μM,0.169517,FCCP,1.00E-06
338,FCCP_1μM,0.30466,FCCP,1.00E-06
339,FCCP_1μM,0.229552,FCCP,1.00E-06
340,FCCP_1μM,0.259313,FCCP,1.00E-06
341,FCCP_1μM,0.267087,FCCP,1.00E-06
342,FCCP_1μM,0.390962,FCCP,1.00E-06
343,FCCP_1μM,0.389848,FCCP,1.00E-06
344,FCCP_1μM,0.34917,FCCP,1.00E-06
345,FCCP_1μM,0.371126,FCCP,1.00E-06
346,FCCP_1μM,0.395788,FCCP,1.00E-06
347,FCCP_1μM,0.508971,FCCP,1.00E-06
348,FCCP_1μM,0.198267,FCCP,1.00E-06
349,FCCP_1μM,0.319069,FCCP,1.00E-06
350,FCCP_1μM,0.452565,FCCP,1.00E-06
351,FCCP_1μM,0.447296,FCCP,1.00E-06
352,FCCP_1μM,0.478651,FCCP,1.00E-06
353,FCCP_1μM,0.351946,FCCP,1.00E-06
354,FCCP_1μM,0.380986,FCCP,1.00E-06
355,FCCP_1μM,0.65758,FCCP,1.00E-06
356,FCCP_1μM,0.546505,FCCP,1.00E-06
357,FCCP_1μM,0.262689,FCCP,1.00E-06
358,FCCP_1μM,0.563178,FCCP,1.00E-06
359,FCCP_1μM,0.677385,FCCP,1.00E-06
360,FCCP_1μM,0.53635,FCCP,1.00E-06
361,FCCP_2.5μΜ,0.164102,FCCP,2.50E-06
362,FCCP_2.5μΜ,0.266779,FCCP,2.50E-06
363,FCCP_2.5μΜ,0.290286,FCCP,2.50E-06
364,FCCP_2.5μΜ,0.195569,FCCP,2.50E-06
365,FCCP_2.5μΜ,0.432018,FCCP,2.50E-06
366,FCCP_2.5μΜ,0.513911,FCCP,2.50E-06
367,FCCP_2.5μΜ,0.429485,FCCP,2.50E-06
368,FCCP_2.5μΜ,0.625794,FCCP,2.50E-06
369,FCCP_2.5μΜ,0.373277,FCCP,2.50E-06
370,FCCP_2.5μΜ,0.429788,FCCP,2.50E-06
371,FCCP_5μM,0.333527,FCCP,5.00E-06
372,FCCP_5μM,0.240703,FCCP,5.00E-06
373,FCCP_5μM,0.211369,FCCP,5.00E-06
374,FCCP_5μM,0.25892,FCCP,5.00E-06
375,FCCP_5μM,0.192411,FCCP,5.00E-06
376,FCCP_5μM,0.273904,FCCP,5.00E-06
377,FCCP_5μM,0.323277,FCCP,5.00E-06
378,FCCP_5μM,0.290914,FCCP,5.00E-06
379,FCCP_5μM,0.269718,FCCP,5.00E-06
380,FCCP_5μM,0.292207,FCCP,5.00E-06
381,GC,1.092402,GC,0
382,GC,1.039477,GC,0
383,GC,1.37332,GC,0
384,GC,1.012024,GC,0
385,GC,1.057663,GC,0
386,GC,1.003745,GC,0
387,GC,1.147318,GC,0
388,GC,1.01693,GC,0
389,GC,1.020779,GC,0
390,GC,1.077056,GC,0
391,GC,1.116982,GC,0
392,GC,1.382396,GC,0
393,GC,1.184805,GC,0
394,GC,1.201121,GC,0
395,GC,1.120019,GC,0
396,GC,1.128385,GC,0
397,GC,1.152308,GC,0
398,GC,1.122599,GC,0
399,GC,0.965681,GC,0
400,GC,1.066715,GC,0
401,GC,1.125482,GC,0
402,GC,1.183737,GC,0
403,GC,1.079931,GC,0
404,GC,1.062427,GC,0
405,GC,1.170659,GC,0
406,GC,1.27538,GC,0
407,GC,1.492981,GC,0
408,GC,1.355445,GC,0
409,GC,1.308692,GC,0
410,GC,2.122886,GC,0
411,GC,1.310866,GC,0
412,GC,1.188396,GC,0
413,GC,1.307822,GC,0
414,GC,1.304543,GC,0
415,GC,1.694209,GC,0
416,GC,1.63639,GC,0
417,GC,2.276365,GC,0
418,GC,1.880747,GC,0
419,GC,1.732973,GC,0
420,GC,1.807029,GC,0
421,GC,1.437888,GC,0
422,GC,1.506377,GC,0
423,GC,1.417194,GC,0
424,GC,1.508626,GC,0
425,GC,1.509709,GC,0
426,GC,1.222087,GC,0
427,GC,1.06575,GC,0
428,GC,1.11282,GC,0
429,GC,1.082937,GC,0
430,GC,1.089559,GC,0
431,GC,1.122008,GC,0
432,GC,0.978006,GC,0
433,GC,1.00733,GC,0
434,GC,1.15864,GC,0
435,GC,0.99194,GC,0
436,GC,1.211663,GC,0
437,GC,1.116253,GC,0
438,GC,1.14432,GC,0
439,GC,1.151055,GC,0
440,GC,1.147457,GC,0
441,GC,1.177766,GC,0
442,GC,1.282118,GC,0
443,GC,1.135413,GC,0
444,GC,1.18853,GC,0
445,GC,1.157042,GC,0
446,GC,1.210087,GC,0
447,GC,1.207285,GC,0
448,GC,1.190574,GC,0
449,GC,1.215539,GC,0
450,GC,1.153217,GC,0
451,GC,0.991406,GC,0
452,GC,0.899703,GC,0
453,GC,0.994535,GC,0
454,GC,1.103045,GC,0
455,GC,1.007215,GC,0
456,GC,0.98054,GC,0
457,GC,1.030444,GC,0
458,GC,1.002506,GC,0
459,GC,1.12662,GC,0
460,GC,1.182055,GC,0
461,GC,1.234813,GC,0
462,GC,1.416831,GC,0
463,GC,1.135421,GC,0
464,GC,1.198009,GC,0
465,GC,1.280748,GC,0
466,GC,1.513887,GC,0
467,GC,1.598511,GC,0
468,GC,1.329973,GC,0
469,GC,1.625685,GC,0
470,GC,1.748539,GC,0
471,GC,1.586577,GC,0
472,GC,0.955521,GC,0
473,GC,1.026536,GC,0
474,GC,0.921715,GC,0
475,GC,0.974992,GC,0
476,GC,1.037754,GC,0
477,GC,1.047553,GC,0
478,GC,1.128385,GC,0
479,GC,1.637455,GC,0
480,GC,1.438183,GC,0
481,GC,1.613894,GC,0
482,GC,1.745627,GC,0
483,GC,1.639339,GC,0
484,GC,2.000445,GC,0
485,GC,1.092402,GC,0
486,GC,1.039477,GC,0
487,GC,1.37332,GC,0
